epoch,train_acc,train_loss,test_acc,test_loss,local_train_loss,selected_clients,total_count,actual_round_clean_count,actual_round_noisy_count,fedrn_clean_count,fedrn_noisy_count,train_count,actual_train_clean_count,actual_train_noisy_count,missed_clean_count,false_clean_count,correctly_excluded_noisy_count,actual_round_clean_ratio,fedrn_clean_ratio,fedrn_noisy_ratio,actual_train_clean_ratio,clean_recall,train_ratio
0,13.304000,2.305983,15.860000,2.274457,1.564139,50,25000,15368,9632,25000,0,25000,15368,9632,0,9632,0,0.614720,1.000000,0.000000,0.614720,1.000000,1.000000
1,15.056000,2.273760,19.960000,2.219528,1.649654,50,25000,14536,10464,25000,0,25000,14536,10464,0,10464,0,0.581440,1.000000,0.000000,0.581440,1.000000,1.000000
2,16.486000,2.249493,21.820000,2.179267,1.643537,50,25000,14336,10664,25000,0,25000,14336,10664,0,10664,0,0.573440,1.000000,0.000000,0.573440,1.000000,1.000000
3,16.968000,2.242212,21.770000,2.164114,1.652047,50,25000,14136,10864,25000,0,25000,14136,10864,0,10864,0,0.565440,1.000000,0.000000,0.565440,1.000000,1.000000
4,18.472000,2.226241,24.290000,2.136674,1.507601,50,25000,15684,9316,25000,0,25000,15684,9316,0,9316,0,0.627360,1.000000,0.000000,0.627360,1.000000,1.000000
5,19.042000,2.219976,25.750000,2.119760,1.525699,50,25000,15264,9736,25000,0,25000,15264,9736,0,9736,0,0.610560,1.000000,0.000000,0.610560,1.000000,1.000000
6,19.602000,2.212553,26.560000,2.106295,1.557625,50,25000,15084,9916,25000,0,25000,15084,9916,0,9916,0,0.603360,1.000000,0.000000,0.603360,1.000000,1.000000
7,20.536000,2.209647,26.840000,2.099633,1.592104,50,25000,14776,10224,25000,0,25000,14776,10224,0,10224,0,0.591040,1.000000,0.000000,0.591040,1.000000,1.000000
8,20.392000,2.203510,27.770000,2.087041,1.451995,50,25000,16124,8876,25000,0,25000,16124,8876,0,8876,0,0.644960,1.000000,0.000000,0.644960,1.000000,1.000000
9,21.518000,2.189821,30.450000,2.062199,1.579336,50,25000,14788,10212,25000,0,25000,14788,10212,0,10212,0,0.591520,1.000000,0.000000,0.591520,1.000000,1.000000
10,22.328000,2.184964,30.390000,2.059226,1.536138,50,25000,15144,9856,25000,0,25000,15144,9856,0,9856,0,0.605760,1.000000,0.000000,0.605760,1.000000,1.000000
11,22.430000,2.181326,31.870000,2.040769,1.506293,50,25000,15068,9932,25000,0,25000,15068,9932,0,9932,0,0.602720,1.000000,0.000000,0.602720,1.000000,1.000000
12,22.246000,2.172900,31.940000,2.026951,1.448483,50,25000,15948,9052,25000,0,25000,15948,9052,0,9052,0,0.637920,1.000000,0.000000,0.637920,1.000000,1.000000
