epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
15,1.469989,20.160000,2.081734,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3160,3160,0,1840,1840,0.632000,1.000000
16,1.291304,31.690000,2.023061,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3508,3508,0,1492,1492,0.701600,1.000000
17,1.636943,32.010000,2.017431,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2780,2780,0,2220,2220,0.556000,1.000000
18,1.664638,26.120000,2.053257,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2632,2632,0,2368,2368,0.526400,1.000000
19,1.662213,30.690000,2.040661,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2716,2716,0,2284,2284,0.543200,1.000000
20,1.383945,34.240000,1.997709,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3272,3272,0,1728,1728,0.654400,1.000000
21,1.516185,32.070000,1.998621,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000
22,1.478994,29.020000,2.011296,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000
23,1.503402,26.940000,2.056885,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3004,3004,0,1996,1996,0.600800,1.000000
24,1.501383,26.030000,2.033268,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000
25,1.351599,31.610000,1.969358,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3364,3364,0,1636,1636,0.672800,1.000000
26,1.493950,28.900000,2.026364,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3208,3208,0,1792,1792,0.641600,1.000000
27,1.361971,30.110000,2.009594,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3324,3324,0,1676,1676,0.664800,1.000000
28,1.526853,33.520000,1.981941,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2968,2968,0,2032,2032,0.593600,1.000000
29,1.409579,29.610000,2.024172,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3264,3264,0,1736,1736,0.652800,1.000000
30,1.256719,24.100000,2.031403,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3504,3504,0,1496,1496,0.700800,1.000000
31,1.469245,29.680000,2.017573,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3148,3148,0,1852,1852,0.629600,1.000000
32,1.658286,31.560000,2.005401,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2788,2788,0,2212,2212,0.557600,1.000000
33,1.685156,29.870000,2.034427,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2796,2796,0,2204,2204,0.559200,1.000000
34,1.262224,33.670000,1.986575,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3496,3496,0,1504,1504,0.699200,1.000000
35,1.554824,30.340000,2.019659,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2908,2908,0,2092,2092,0.581600,1.000000
36,1.290414,18.950000,2.109923,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3428,3428,0,1572,1572,0.685600,1.000000
37,1.423823,30.560000,1.989980,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000
38,1.866214,32.890000,2.018558,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2148,2148,0,2852,2852,0.429600,1.000000
39,1.491747,29.100000,2.054769,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000
40,1.381108,30.970000,1.988896,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3196,3196,0,1804,1804,0.639200,1.000000
41,1.440356,27.280000,2.007168,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3036,3036,0,1964,1964,0.607200,1.000000
42,1.465738,31.880000,2.005754,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3112,3112,0,1888,1888,0.622400,1.000000
43,1.390235,31.630000,1.986329,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3152,3152,0,1848,1848,0.630400,1.000000
44,1.533886,33.690000,1.971164,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2976,2976,0,2024,2024,0.595200,1.000000
45,1.389195,32.640000,1.962346,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3204,3204,0,1796,1796,0.640800,1.000000
46,1.470765,28.410000,1.991013,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2872,2872,0,2128,2128,0.574400,1.000000
47,1.275557,30.430000,1.979308,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3396,3396,0,1604,1604,0.679200,1.000000
48,1.510091,30.180000,1.989896,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2756,2756,0,2244,2244,0.551200,1.000000
49,1.755136,28.730000,2.039395,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2452,2452,0,2548,2548,0.490400,1.000000
50,1.461276,25.890000,2.049455,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2912,2912,0,2088,2088,0.582400,1.000000
51,1.653501,28.840000,2.056950,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2612,2612,0,2388,2388,0.522400,1.000000
52,1.365534,29.240000,2.037596,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3136,3136,0,1864,1864,0.627200,1.000000
53,1.424014,31.840000,2.001852,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2952,2952,0,2048,2048,0.590400,1.000000
54,1.649215,29.130000,2.020718,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2556,2556,0,2444,2444,0.511200,1.000000
55,1.152048,27.870000,1.992725,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3536,3536,0,1464,1464,0.707200,1.000000
56,1.413228,31.640000,1.975094,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3120,3120,0,1880,1880,0.624000,1.000000
57,1.354887,30.870000,2.002820,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3276,3276,0,1724,1724,0.655200,1.000000
58,1.472663,31.680000,1.967399,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3048,3048,0,1952,1952,0.609600,1.000000
59,1.204936,28.620000,1.993882,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3620,3620,0,1380,1380,0.724000,1.000000
60,1.553880,32.890000,1.981353,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2920,2920,0,2080,2080,0.584000,1.000000
