epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
0,1.561888,20.550000,2.220529,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15368,15368,0,9632,9632,0.614720,1.000000,0,0,0.000000
1,1.647765,24.810000,2.154322,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14536,14536,0,10464,10464,0.581440,1.000000,0,0,0.000000
2,1.644126,26.610000,2.123474,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14336,14336,0,10664,10664,0.573440,1.000000,0,0,0.000000
3,1.650834,26.800000,2.110036,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14136,14136,0,10864,10864,0.565440,1.000000,0,0,0.000000
4,1.506977,30.070000,2.076182,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15684,15684,0,9316,9316,0.627360,1.000000,0,0,0.000000
5,1.520444,31.270000,2.053379,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15264,15264,0,9736,9736,0.610560,1.000000,0,0,0.000000
6,1.557602,31.830000,2.047975,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15084,15084,0,9916,9916,0.603360,1.000000,0,0,0.000000
7,1.586765,30.350000,2.054391,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14776,14776,0,10224,10224,0.591040,1.000000,0,0,0.000000
8,1.453901,32.270000,2.033713,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,16124,16124,0,8876,8876,0.644960,1.000000,0,0,0.000000
9,1.580486,35.970000,2.016811,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14788,14788,0,10212,10212,0.591520,1.000000,0,0,0.000000
10,1.535246,35.360000,2.019011,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15144,15144,0,9856,9856,0.605760,1.000000,0,0,0.000000
11,1.503419,35.660000,1.998056,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15068,15068,0,9932,9932,0.602720,1.000000,0,0,0.000000
12,1.448210,36.110000,1.992843,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15948,15948,0,9052,9052,0.637920,1.000000,0,0,0.000000
13,1.404835,37.260000,1.980203,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15984,15984,0,9016,9016,0.639360,1.000000,0,0,0.000000
14,1.557086,35.720000,1.997716,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14752,14752,0,10248,10248,0.590080,1.000000,0,0,0.000000
15,1.541873,34.700000,2.006721,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14976,14976,0,10024,10024,0.599040,1.000000,0,0,0.000000
16,1.590764,35.810000,2.005510,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14508,14508,0,10492,10492,0.580320,1.000000,0,0,0.000000
17,1.557469,36.790000,2.002680,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14772,14772,0,10228,10228,0.590880,1.000000,0,0,0.000000
18,1.549353,37.490000,1.993628,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,14644,14644,0,10356,10356,0.585760,1.000000,0,0,0.000000
19,1.489080,36.780000,1.994937,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15372,15372,0,9628,9628,0.614880,1.000000,0,0,0.000000
20,1.607728,37.410000,2.000401,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,13976,13976,0,11024,11024,0.559040,1.000000,0,0,0.000000
21,1.445252,35.440000,1.993789,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,25000,0,25000,25000,15836,15836,0,9164,9164,0.633440,1.000000,0,0,0.000000
