epoch,train_loss,global_test_acc,global_test_loss,personal_apa,personal_loss,core_clean_ratio,recover_ratio,train_ratio,agreement_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall,recover_true_clean_count,recover_false_clean_count,recover_precision
0,1.585491,20.210000,2.254845,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3216,3216,0,1784,1784,0.643200,1.000000,0,0,0.000000
1,1.620795,21.780000,2.169602,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2980,2980,0,2020,2020,0.596000,1.000000,0,0,0.000000
2,1.442791,16.240000,2.232108,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3112,3112,0,1888,1888,0.622400,1.000000,0,0,0.000000
3,1.575735,25.080000,2.118563,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3096,3096,0,1904,1904,0.619200,1.000000,0,0,0.000000
4,1.663191,24.920000,2.144852,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2924,2924,0,2076,2076,0.584800,1.000000,0,0,0.000000
5,1.896569,25.220000,2.147658,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2272,2272,0,2728,2728,0.454400,1.000000,0,0,0.000000
6,1.580252,23.870000,2.109902,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3012,3012,0,1988,1988,0.602400,1.000000,0,0,0.000000
7,1.408231,24.410000,2.131922,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3164,3164,0,1836,1836,0.632800,1.000000,0,0,0.000000
8,1.132060,29.150000,2.053989,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3772,3772,0,1228,1228,0.754400,1.000000,0,0,0.000000
9,1.538533,24.520000,2.060629,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2752,2752,0,2248,2248,0.550400,1.000000,0,0,0.000000
10,1.589413,20.480000,2.149312,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2888,2888,0,2112,2112,0.577600,1.000000,0,0,0.000000
11,1.555886,26.400000,2.066669,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2940,2940,0,2060,2060,0.588000,1.000000,0,0,0.000000
12,1.682956,28.520000,2.049900,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2736,2736,0,2264,2264,0.547200,1.000000,0,0,0.000000
13,1.469710,26.700000,2.055704,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3148,3148,0,1852,1852,0.629600,1.000000,0,0,0.000000
14,1.305206,25.870000,2.067106,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3492,3492,0,1508,1508,0.698400,1.000000,0,0,0.000000
15,1.471408,21.210000,2.059925,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3160,3160,0,1840,1840,0.632000,1.000000,0,0,0.000000
16,1.287481,31.000000,2.027091,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3508,3508,0,1492,1492,0.701600,1.000000,0,0,0.000000
17,1.640757,30.130000,2.022702,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2780,2780,0,2220,2220,0.556000,1.000000,0,0,0.000000
18,1.665293,25.250000,2.067795,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2632,2632,0,2368,2368,0.526400,1.000000,0,0,0.000000
19,1.666067,30.810000,2.037423,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,2716,2716,0,2284,2284,0.543200,1.000000,0,0,0.000000
20,1.383901,32.200000,2.014372,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3272,3272,0,1728,1728,0.654400,1.000000,0,0,0.000000
21,1.505957,33.830000,1.991720,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3172,3172,0,1828,1828,0.634400,1.000000,0,0,0.000000
22,1.480041,27.960000,2.019344,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000,0,0,0.000000
23,1.500318,27.410000,2.051220,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3004,3004,0,1996,1996,0.600800,1.000000,0,0,0.000000
24,1.503128,25.100000,2.056002,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3028,3028,0,1972,1972,0.605600,1.000000,0,0,0.000000
25,1.349067,31.550000,1.981896,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0,5000,0,5000,5000,3364,3364,0,1636,1636,0.672800,1.000000,0,0,0.000000
